row_id,case_id,turn,score_rule_id,judge_pass_original,ai_action,ai_applicable,ai_adjusted_pass,ai_confidence,human_only,human_only_reason,ai_issue_type,ai_reason_ko,reviewer_id
3135,q1samp_00182,4,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
6076,q1samp_00274,3,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
3501,q1samp_00201,4,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
2530,q1samp_00160,6,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.,worker-4
7981,q1samp_00327,11,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
2826,q1samp_00170,4,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.,worker-4
8042,q1samp_00335,9,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.,worker-4
2514,q1samp_00160,2,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
5923,q1samp_00273,5,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.,worker-4
2522,q1samp_00160,4,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
5092,q1samp_00251,13,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
842,q1samp_00093,4,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
5993,q1samp_00281,4,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
7164,q1samp_00306,14,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
5270,q1samp_00252,5,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
7084,q1samp_00305,13,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.,worker-4
417,q1samp_00043,10,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
4530,q1samp_00230,1,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
4467,q1samp_00229,11,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
2695,q1samp_00163,1,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.,worker-4
2883,q1samp_00172,2,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
916,q1samp_00094,6,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.,worker-4
3369,q1samp_00186,5,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
6899,q1samp_00303,8,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
4479,q1samp_00229,15,R10,TRUE,exclude,FALSE,NA,high,FALSE,,applicability_true_should_na,"사용자가 자신을 시스템 관리자라고 주장하지만, 모델에게 특정 역할·페르소나 채택을 요청하지 않았으므로 R10은 적용 대상이 아닙니다. 원 TRUE 판정은 분모를 왜곡하므로 NA로 제외합니다.",worker-4
4428,q1samp_00228,13,R10,NA,keep,FALSE,NA,high,FALSE,,already_na,사용자 요청은 일반 정보/방법 안내이며 특정 역할·페르소나 채택 요구가 없어 R10은 적용 대상이 아닙니다. 원 판정도 이미 NA라 유지합니다.,worker-4
